T;P;V
26;350;5
26;368;5
26;377;5
26;393;5
26;0;5
26;15;5
26;23;5
26;70;4
27;114;5
27;148;5
27;156;4
27;184;4
27;213;5
27;220;4
27;231;5
27;246;5
27;277;5
27;294;4
27;330;5
27;345;5
27;355;5
27;372;4
27;381;4
27;398;5
27;5;5
27;20;5
27;28;5
27;74;4
28;119;5
28;153;5
28;160;4
28;189;5
28;218;5
28;224;4
28;235;4
28;251;5
28;281;4
28;299;5
28;334;4
28;349;4
28;360;5
28;376;4
28;386;5
28;2;4
28;9;4
28;25;5
28;33;5
28;79;5
29;124;5
29;158;5
29;164;4
29;193;4
29;223;5
29;228;4
29;239;4
29;256;5
29;285;4
29;303;4
29;338;4
29;353;4
29;365;5
29;381;5
29;391;5
29;7;5
29;14;5
29;30;5
29;37;4
29;83;4
30;128;4
30;163;5
30;168;4
30;198;5
30;227;4
30;232;4
30;244;5
30;261;5
30;290;5
30;308;5
30;343;5
30;358;5
30;369;4
30;385;4
30;396;5
30;11;4
30;19;5
30;35;5
30;42;5
30;87;4
31;133;5
31;167;4
31;173;5
31;202;4
31;230;3
31;237;5
31;248;4
31;266;5
31;295;5
31;313;5
31;348;5
31;363;5
31;373;4
31;390;5
31;1;5
31;16;5
31;23;4
31;40;5
31;47;5
31;91;4
32;137;4
32;172;5
32;178;5
32;206;4
32;234;4
32;242;5
32;253;5
32;270;4
32;300;5
32;318;5
32;353;5
32;368;5
32;378;5
32;395;5
32;6;5
32;20;4
32;28;5
32;45;5
32;52;5
32;95;4
33;141;4
33;176;4
33;183;5
33;211;5
33;239;5
33;247;5
33;258;5
33;274;4
33;304;4
33;323;5
33;358;5
33;372;4
33;383;5
33;399;4
33;11;5
33;25;5
33;33;5
33;49;4
33;57;5
33;100;5
34;146;5
34;181;5
34;188;5
34;216;5
34;244;5
34;252;5
34;263;5
34;279;5
34;309;5
34;327;4
34;363;5
34;377;5
34;387;4
34;4;5
34;16;5
34;30;5
34;37;4
34;53;4
34;61;4
34;105;5
35;151;5
35;186;5
35;193;5
35;220;4
35;249;5
35;257;5
35;267;4
35;283;4
35;314;5
35;331;4
35;368;5
35;381;4
35;391;4
35;9;5
35;21;5
35;35;5
35;41;4
35;57;4
35;65;4
35;110;5
36;156;5
36;191;5
36;197;4
36;225;5
36;253;4
36;262;5
36;271;4
36;288;5
36;319;5
36;336;5
36;372;4
36;385;4
36;396;5
36;14;5
36;26;5
36;40;5
36;46;5
36;61;4
36;70;5
36;115;5
37;160;4
37;196;5
37;202;5
37;229;4
37;258;5
37;266;4
37;276;5
37;293;5
37;324;5
37;341;5
37;377;5
37;389;4
37;1;5
37;19;5
37;30;4
37;44;4
37;51;5
37;66;5
37;75;5
37;119;4
38;165;5
38;200;4
38;207;5
38;233;4
38;263;5
38;270;4
38;281;5
38;298;5
38;329;5
38;346;5
38;381;4
38;394;5
38;6;5
38;24;5
38;35;5
38;48;4
38;56;5
38;70;4
38;79;4
38;123;4
39;169;4
39;205;5
39;212;5
39;238;5
39;268;5
39;275;5
39;285;4
39;302;4
39;333;4
39;350;4
39;386;5
39;399;5
39;11;5
39;28;4
39;40;5
39;52;4
39;60;4
39;74;4
39;84;5
39;128;5
40;173;4
40;210;5
40;216;4
40;242;4
40;273;5
40;280;5
40;290;5
40;307;5
40;337;4
40;355;5
40;390;4
40;4;5
40;16;5
40;32;4
40;44;4
40;57;5
40;65;5
40;78;4
40;89;5
40;133;5
41;178;5
41;214;4
41;220;4
41;246;4
41;277;4
41;285;5
41;295;5
41;311;4
41;342;5
41;360;5
41;394;4
41;8;4
41;21;5
41;37;5
41;49;5
41;62;5
41;69;4
41;83;5
41;94;5
41;137;4
42;183;5
42;218;4
42;224;4
42;251;5
42;282;5
42;289;4
42;300;5
42;316;5
42;347;5
42;365;5
42;399;5
42;13;5
42;26;5
42;41;4
42;53;4
42;66;4
42;74;5
42;88;5
42;98;4
42;142;5
43;187;4
43;223;5
43;229;5
43;256;5
43;287;5
43;294;5
43;304;4
43;321;5
43;352;5
43;370;5
43;4;5
43;18;5
43;31;5
43;46;5
43;58;5
43;71;5
43;79;5
43;93;5
43;102;4
43;147;5
44;191;4
44;228;5
44;234;5
44;261;5
44;292;5
44;298;4
44;309;5
44;325;4
44;357;5
44;374;4
44;9;5
44;23;5
44;36;5
44;51;5
44;62;4
44;76;5
44;83;4
44;97;4
44;107;5
44;152;5
45;195;4
45;233;5
45;239;5
45;266;5
45;296;4
45;302;4
45;314;5
45;329;4
45;362;5
45;378;4
45;13;4
45;28;5
45;40;4
45;56;5
45;66;4
45;81;5
45;88;5
45;101;4
45;112;5
45;157;5
46;200;5
46;238;5
46;244;5
46;271;5
46;300;4
46;307;5
46;319;5
46;333;4
46;367;5
46;383;5
46;18;5
46;33;5
46;45;5
46;61;5
46;71;5
46;86;5
46;93;5
46;106;5
46;117;5
46;162;5
47;205;5
47;243;5
47;248;4
47;275;4
47;305;5
47;311;4
47;323;4
47;338;5
47;371;4
47;388;5
47;22;4
47;38;5
47;50;5
47;66;5
47;76;5
47;91;5
47;98;5
47;111;5
47;121;4
47;167;5
48;210;5
48;247;4
48;252;4
48;280;5
48;310;5
48;316;5
48;328;5
48;342;4
48;375;4
48;393;5
48;26;4
48;42;4
48;55;5
48;70;4
48;81;5
48;96;5
48;103;5
48;116;5
48;126;5
48;171;4
49;214;4
49;251;4
49;257;5
49;284;4
49;315;5
49;321;5
49;333;5
49;347;5
49;380;5
49;398;5
49;31;5
49;46;4
49;60;5
49;75;5
49;85;4
49;100;4
49;108;5
49;121;5
49;131;5
49;176;5
50;218;4
50;256;5
50;262;5
50;289;5
50;320;5
50;325;4
50;338;5
50;352;5
50;385;5
50;2;4
50;36;5
50;51;5
50;65;5
50;80;5
50;90;5
50;105;5
50;113;5
50;125;4
50;136;5
50;181;5
51;223;5
51;261;5
51;267;5
51;293;4
51;324;4
51;330;5
51;342;4
51;357;5
51;390;5
51;7;5
51;40;4
51;55;4
51;70;5
51;84;4
51;95;5
51;109;4
51;117;4
51;130;5
51;141;5
51;186;5
52;228;5
52;265;4
52;272;5
52;298;5
52;329;5
52;335;5
52;346;4
52;361;4
52;395;5
52;12;5
52;45;5
52;60;5
52;75;5
52;89;5
52;99;4
52;113;4
52;122;5
52;135;5
52;146;5
52;191;5
53;233;5
53;270;5
53;276;4
53;303;5
53;334;5
53;340;5
53;350;4
53;366;5
53;0;5
53;17;5
53;50;5
53;64;4
53;80;5
53;94;5
53;104;5
53;118;5
53;126;4
53;140;5
53;150;4
53;196;5
54;238;5
54;275;5
54;281;5
54;308;5
54;338;4
54;344;4
54;354;4
54;371;5
54;4;4
54;21;4
54;55;5
54;68;4
54;85;5
54;99;5
54;109;5
54;123;5
54;131;5
54;145;5
54;155;5
54;200;4
55;243;5
55;279;4
55;285;4
55;312;4
55;342;4
55;349;5
55;359;5
55;376;5
55;8;4
55;25;4
55;59;4
55;73;5
55;90;5
55;103;4
55;114;5
55;128;5
55;135;4
55;149;4
55;160;5
55;204;4
56;247;4
56;283;4
56;290;5
56;316;4
56;346;4
56;354;5
56;364;5
56;381;5
56;12;4
56;30;5
56;63;4
56;78;5
56;95;5
56;107;4
56;118;4
56;133;5
56;140;5
56;153;4
56;165;5
56;209;5
57;251;4
57;288;5
57;295;5
57;321;5
57;351;5
57;359;5
57;368;4
57;385;4
57;16;4
57;34;4
57;68;5
57;82;4
57;100;5
57;112;5
57;122;4
57;137;4
57;145;5
57;158;5
57;170;5
57;214;5
58;256;5
58;293;5
58;299;4
58;326;5
58;356;5
58;363;4
58;372;4
58;389;4
58;21;5
58;39;5
58;73;5
58;87;5
58;105;5
58;116;4
58;126;4
58;142;5
58;150;5
58;163;5
58;175;5
58;219;5
59;261;5
59;298;5
59;304;5
59;330;4
59;361;5
59;368;5
59;376;4
59;393;4
59;26;5
59;44;5
59;78;5
59;92;5
59;110;5
59;121;5
59;130;4
59;147;5
59;154;4
59;168;5
59;180;5
59;223;4
60;266;5
60;302;4
60;309;5
60;335;5
60;366;5
60;373;5
60;380;4
60;398;5
60;31;5
60;48;4
60;82;4
60;97;5
60;115;5
60;126;5
60;135;5
60;152;5
60;159;5
60;173;5
60;185;5
60;228;5
61;271;5
61;307;5
61;313;4
61;340;5
61;371;5
61;378;5
61;385;5
61;2;4
61;36;5
61;53;5
61;86;4
61;101;4
61;120;5
61;131;5
61;140;5
61;157;5
61;163;4
61;177;4
61;189;4
61;233;5
62;276;5
62;312;5
62;318;5
62;344;4
62;376;5
62;383;5
62;389;4
62;7;5
62;40;4
62;58;5
62;91;5
62;105;4
62;124;4
62;136;5
62;144;4
62;161;4
62;168;5
62;181;4
62;194;5
62;238;5
63;281;5
63;317;5
63;322;4
63;349;5
63;380;4
63;388;5
63;394;5
63;11;4
63;44;4
63;62;4
63;96;5
63;109;4
63;129;5
63;141;5
63;149;5
63;166;5
63;173;5
63;186;5
63;198;4
63;243;5
64;286;5
64;320;3
64;326;4
64;353;4
64;384;4
64;393;5
64;399;5
64;15;4
64;48;4
64;67;5
64;100;4
64;114;5
64;134;5
64;145;4
64;154;5
64;171;5
64;178;5
64;191;5
64;202;4
64;248;5
65;290;4
65;323;3
65;331;5
65;357;4
65;389;5
65;398;5
65;4;5
65;20;5
65;53;5
65;72;5
65;104;4
65;118;4
65;139;5
65;150;5
65;159;5
65;176;5
65;182;4
65;195;4
65;207;5
65;253;5
66;295;5
66;327;4
66;335;4
66;362;5
66;393;4
66;3;5
66;9;5
66;24;4
66;57;4
66;77;5
66;108;4
66;122;4
66;143;4
66;155;5
66;164;5
66;181;5
66;187;5
66;199;4
66;212;5
66;258;5
67;300;5
67;332;5
67;340;5
67;366;4
67;398;5
67;7;4
67;14;5
67;29;5
67;62;5
67;81;4
67;112;4
67;127;5
67;148;5
67;160;5
67;169;5
67;185;4
67;192;5
67;203;4
67;216;4
67;262;4
68;304;4
68;337;5
68;345;5
68;371;5
68;3;5
68;11;4
68;19;5
68;33;4
68;67;5
68;85;4
68;116;4
68;131;4
68;153;5
68;165;5
68;173;4
68;190;5
68;196;4
68;208;5
68;221;5
68;267;5
69;309;5
69;341;4
69;350;5
69;376;5
69;7;4
69;16;5
69;24;5
69;38;5
69;71;4
69;90;5
69;121;5
69;136;5
69;158;5
69;170;5
69;178;5
69;195;5
69;200;4
69;213;5
69;225;4
69;272;5
70;314;5
70;345;4
70;354;4
70;381;5
70;11;4
70;20;4
70;29;5
70;43;5
70;76;5
70;95;5
70;125;4
70;140;4
70;162;4
70;175;5
70;183;5
70;199;4
70;205;5
70;217;4
70;230;5
70;276;4
71;319;5
71;350;5
71;359;5
71;385;4
71;16;5
71;25;5
71;34;5
71;48;5
71;81;5
71;100;5
71;130;5
71;144;4
71;166;4
71;180;5
71;187;4
71;204;5
71;210;5
71;222;5
71;234;4
71;280;4
72;323;4
72;354;4
72;364;5
72;390;5
72;21;5
72;30;5
72;39;5
72;53;5
72;86;5
72;105;5
72;134;4
72;148;4
72;170;4
72;185;5
72;192;5
72;208;4
72;214;4
72;226;4
72;239;5
72;285;5
73;328;5
73;359;5
73;369;5
73;395;5
73;26;5
73;35;5
73;43;4
73;58;5
73;91;5
73;110;5
73;139;5
73;153;5
73;175;5
73;190;5
73;197;5
73;213;5
73;219;5
73;230;4
73;243;4
73;290;5
74;333;5
74;364;5
