T;P;V
0;12;0
0;115;0
0;153;0
0;252;0
0;292;0
0;441;0
0;455;0
0;466;0
0;507;0
0;557;0
0;646;0
0;703;0
0;827;0
0;878;0
0;885;0
0;908;0
0;914;0
0;967;0
1;13;1
1;115;0
1;154;1
1;252;0
1;293;1
1;442;1
1;455;0
1;466;0
1;508;1
1;557;0
1;647;1
1;704;1
1;827;0
1;878;0
1;886;1
1;909;1
1;915;1
1;968;1
2;15;2
2;115;0
2;156;2
2;253;1
2;295;2
2;444;2
2;456;1
2;466;0
2;510;2
2;558;1
2;649;2
2;706;2
2;827;0
2;878;0
2;888;2
2;910;1
2;917;2
2;970;2
3;18;3
3;116;1
3;159;3
3;255;2
3;298;3
3;446;2
3;457;1
3;467;1
3;513;3
3;560;2
3;651;2
3;709;3
3;827;0
3;878;0
3;891;3
3;912;2
3;919;2
3;972;2
4;21;3
4;118;2
4;163;4
4;257;2
4;302;4
4;449;3
4;459;2
4;469;2
4;517;4
4;562;2
4;654;3
4;713;4
4;828;1
4;878;0
4;895;4
4;915;3
4;921;2
4;975;3
5;24;3
5;121;3
5;168;5
5;260;3
5;307;5
5;453;4
5;461;2
5;472;3
5;521;4
5;565;3
5;657;3
5;718;5
5;830;2
5;879;1
5;900;5
5;919;4
5;924;3
5;979;4
6;28;4
6;125;4
6;173;5
6;264;4
6;311;4
6;458;5
6;463;2
6;476;4
6;526;5
6;569;4
6;660;3
6;723;5
6;833;3
6;880;1
6;904;4
6;923;4
6;928;4
6;984;5
7;33;5
7;130;5
7;178;5
7;269;5
7;316;5
7;461;3
7;465;2
7;481;5
7;531;5
7;573;4
7;664;4
7;728;5
7;836;3
7;882;2
7;909;5
7;927;4
7;933;5
7;989;5
8;37;4
8;135;5
8;182;4
8;274;5
8;320;4
8;463;2
8;467;2
8;486;5
8;536;5
8;578;5
8;669;5
8;733;5
8;840;4
8;885;3
8;914;5
8;932;5
8;937;4
8;993;4
9;41;4
9;140;5
9;186;4
9;279;5
9;325;5
9;466;3
9;469;2
9;491;5
9;540;4
9;582;4
9;674;5
9;737;4
9;845;5
9;889;4
9;919;5
9;936;4
9;941;4
9;997;4
10;46;5
10;145;5
10;191;5
10;284;5
10;329;4
10;467;1
10;472;3
10;496;5
10;544;4
10;587;5
10;679;5
10;742;5
10;850;5
10;894;5
10;924;5
10;940;4
10;946;5
10;2;5
11;51;5
11;149;4
11;196;5
11;289;5
11;334;5
11;469;2
11;476;4
11;501;5
11;549;5
11;591;4
11;683;4
11;747;5
11;855;5
11;899;5
11;929;5
11;945;5
11;951;5
11;7;5
12;56;5
12;154;5
12;200;4
12;294;5
12;339;5
12;472;3
12;480;4
12;505;4
12;554;5
12;595;4
12;688;5
12;752;5
12;859;4
12;904;5
12;934;5
12;949;4
12;956;5
12;11;4
13;61;5
13;159;5
13;205;5
13;299;5
13;343;4
13;476;4
13;485;5
13;510;5
13;558;4
13;600;5
13;693;5
13;757;5
13;864;5
13;909;5
13;938;4
13;954;5
13;961;5
13;15;4
14;66;5
14;164;5
14;210;5
14;303;4
14;348;5
