T;P;V
0;64;0
0;69;0
0;106;0
0;145;0
0;190;0
0;291;0
0;318;0
0;325;0
0;397;0
0;508;0
0;543;0
0;589;0
0;667;0
0;700;0
0;778;0
0;788;0
0;809;0
0;815;0
0;883;0
0;897;0
0;921;0
0;926;0
0;930;0
0;946;0
1;65;1
1;69;0
1;106;0
1;146;1
1;191;1
1;292;1
1;318;0
1;326;1
1;398;1
1;508;0
1;543;0
1;590;1
1;668;1
1;700;0
1;779;1
1;789;1
1;810;1
1;816;1
1;883;0
1;897;0
1;922;1
1;927;1
1;930;0
1;946;0
2;67;2
2;70;1
2;107;1
2;147;1
2;192;1
2;293;1
2;319;1
2;327;1
2;400;2
2;508;0
2;544;1
2;591;1
2;670;2
2;701;1
2;781;2
2;791;2
2;812;2
2;818;2
2;884;1
2;898;1
2;924;2
2;928;1
2;930;0
2;947;1
3;69;2
3;71;1
3;108;1
3;148;1
3;194;2
3;295;2
3;320;1
3;329;2
3;403;3
3;509;1
3;546;2
3;593;2
3;672;2
3;703;2
3;784;3
3;794;3
3;814;2
3;821;3
3;886;2
3;900;2
3;926;2
3;928;0
3;931;1
3;949;2
4;69;0
4;73;2
4;109;1
4;149;1
4;197;3
4;297;2
4;322;2
4;332;3
4;407;4
4;510;1
4;549;3
4;595;2
4;675;3
4;706;3
4;788;4
4;797;3
4;816;2
4;825;4
4;888;2
4;903;3
4;926;0
4;929;1
4;933;2
4;952;3
5;69;0
5;75;2
5;111;2
5;151;2
5;200;3
5;300;3
5;324;2
5;336;4
5;411;4
5;512;2
5;553;4
5;598;3
5;678;3
5;709;3
5;792;4
5;801;4
5;819;3
5;830;5
5;891;3
5;906;3
5;927;1
5;930;1
5;935;2
5;955;3
6;70;1
6;77;2
6;113;2
6;153;2
6;204;4
6;304;4
6;326;2
6;340;4
6;415;4
6;514;2
6;558;5
6;602;4
6;681;3
6;712;3
6;797;5
6;806;5
6;823;4
6;835;5
6;894;3
6;910;4
6;928;1
6;932;2
6;937;2
6;959;4
7;71;1
7;80;3
7;115;2
7;156;3
7;209;5
7;309;5
7;329;3
7;345;5
7;420;5
7;516;2
7;562;4
7;607;5
7;685;4
7;715;3
7;801;4
7;811;5
7;827;4
7;840;5
7;898;4
7;914;4
7;930;2
7;935;3
7;940;3
7;964;5
8;73;2
8;84;4
8;118;3
8;160;4
8;213;4
8;314;5
8;333;4
8;350;5
8;425;5
8;519;3
8;567;5
8;612;5
8;690;5
8;718;3
8;806;5
8;816;5
8;832;5
8;845;5
8;902;4
8;918;4
8;933;3
8;939;4
8;944;4
8;968;4
9;75;2
9;89;5
9;122;4
9;165;5
9;218;5
9;318;4
9;337;4
9;355;5
9;429;4
9;523;4
9;571;4
9;617;5
9;694;4
9;722;4
9;811;5
9;821;5
9;837;5
9;850;5
9;907;5
9;923;5
9;937;4
9;942;3
9;948;4
9;973;5
10;78;3
10;93;4
10;126;4
10;170;5
10;222;4
10;322;4
10;342;5
10;359;4
10;434;5
10;527;4
10;576;5
10;622;5
10;698;4
10;727;5
10;816;5
10;826;5
10;842;5
10;854;4
10;911;4
10;928;5
10;941;4
10;946;4
10;953;5
10;978;5
11;82;4
11;98;5
11;131;5
11;175;5
11;226;4
11;327;5
11;347;5
11;364;5
11;439;5
11;531;4
11;581;5
11;627;5
11;702;4
11;731;4
11;821;5
11;831;5
11;847;5
11;859;5
11;916;5
11;933;5
11;944;3
11;951;5
11;958;5
11;982;4
12;87;5
12;103;5
12;136;5
12;179;4
12;230;4
12;331;4
12;351;4
12;369;5
12;443;4
12;536;5
12;585;4
12;632;5
12;706;4
12;736;5
12;826;5
12;836;5
12;852;5
12;864;5
12;920;4
12;938;5
12;948;4
12;956;5
12;963;5
12;986;4
13;92;5
13;107;4
13;141;5
13;184;5
13;235;5
13;336;5
13;356;5
13;373;4
13;447;4
13;540;4
13;589;4
13;636;4
13;711;5
13;741;5
13;831;5
13;841;5
13;856;4
13;869;5
13;924;4
13;943;5
13;952;4
13;961;5
13;968;5
13;991;5
14;96;4
14;111;4
14;145;4
14;188;4
14;239;4
14;341;5
14;361;5
14;377;4
14;452;5
14;545;5
14;594;5
14;641;5
14;716;5
14;745;4
14;836;5
14;846;5
14;861;5
14;874;5
14;929;5
14;948;5
14;957;5
14;965;4
14;973;5
14;996;5
15;100;4
15;116;5
15;149;4
15;193;5
15;244;5
15;346;5
15;366;5
15;382;5
15;457;5
15;550;5
15;599;5
15;646;5
15;720;4
15;749;4
15;841;5
15;850;4
15;866;5
15;879;5
15;934;5
15;953;5
15;962;5
15;970;5
15;978;5
15;0;4
16;104;4
16;120;4
16;154;5
16;197;4
16;248;4
16;350;4
16;371;5
16;387;5
16;462;5
16;555;5
16;604;5
16;650;4
16;725;5
16;754;5
16;846;5
16;855;5
16;871;5
16;883;4
16;939;5
16;958;5
16;967;5
16;975;5
16;983;5
16;4;4
17;109;5
17;125;5
17;158;4
17;202;5
17;253;5
17;354;4
17;375;4
17;391;4
17;466;4
17;559;4
17;609;5
17;655;5
17;729;4
17;758;4
17;850;4
17;859;4
17;875;4
17;887;4
17;944;5
17;962;4
17;972;5
17;979;4
17;988;5
17;9;5
18;114;5
18;129;4
18;162;4
18;207;5
18;258;5
18;358;4
18;379;4
18;396;5
18;471;5
18;564;5
18;614;5
18;660;5
18;734;5
18;763;5
18;854;4
18;863;4
18;880;5
18;892;5
18;949;5
18;966;4
18;976;4
18;984;5
18;993;5
18;13;4
19;118;4
19;134;5
19;166;4
19;211;4
19;263;5
19;362;4
19;384;5
19;400;4
19;476;5
19;568;4
19;619;5
19;665;5
19;738;4
19;768;5
19;858;4
19;867;4
19;885;5
19;897;5
19;954;5
19;970;4
19;981;5
19;989;5
19;998;5
19;17;4
20;122;4
20;139;5
20;170;4
20;215;4
20;268;5
20;366;4
20;388;4
20;404;4
20;481;5
20;573;5
20;624;5
20;670;5
20;743;5
20;773;5
20;863;5
20;872;5
20;889;4
20;901;4
20;959;5
20;975;5
20;986;5
20;994;5
20;3;5
20;22;5
21;127;5
21;144;5
21;175;5
21;220;5
21;273;5
21;371;5
21;392;4
21;408;4
21;486;5
21;578;5
21;629;5
21;674;4
21;748;5
21;778;5
21;868;5
21;876;4
21;894;5
21;906;5
21;963;4
21;980;5
21;991;5
21;999;5
21;8;5
21;26;4
22;132;5
22;149;5
22;179;4
22;225;5
22;278;5
22;376;5
22;396;4
22;412;4
22;491;5
22;582;4
22;634;5
22;679;5
22;753;5
22;783;5
22;873;5
22;880;4
22;899;5
22;910;4
22;967;4
22;985;5
22;996;5
22;4;5
22;12;4
22;30;4
23;137;5
23;153;4
23;183;4
23;230;5
23;282;4
23;381;5
23;401;5
23;416;4
23;496;5
23;587;5
23;638;4
23;683;4
23;758;5
23;788;5
23;877;4
23;885;5
23;904;5
23;915;5
23;972;5
23;989;4
23;1;5
23;9;5
23;17;5
23;34;4
24;141;4
24;157;4
24;188;5
24;235;5
24;287;5
24;385;4
24;405;4
24;421;5
24;501;5
24;592;5
24;642;4
24;688;5
24;762;4
24;793;5
24;882;5
24;890;5
24;909;5
24;920;5
24;977;5
24;993;4
24;5;4
24;13;4
24;21;4
24;39;5
25;145;4
25;162;5
25;193;5
25;240;5
25;292;5
25;390;5
25;410;5
25;426;5
25;505;4
25;596;4
25;647;5
25;692;4
25;767;5
25;797;4
25;887;5
25;895;5
25;914;5
25;924;4
25;982;5
25;998;5
25;9;4
25;17;4
25;25;4
25;43;4
26;150;5
26;167;5
26;197;4
26;245;5
26;296;4
26;394;4
26;414;4
26;430;4
26;510;5
26;600;4
26;651;4
26;697;5
26;771;4
26;801;4
26;891;4
26;900;5
26;918;4
26;929;5
26;987;5
26;3;5
26;14;5
26;22;5
26;30;5
26;48;5
27;154;4
27;172;5
27;202;5
27;250;5
27;301;5
27;398;4
27;418;4
27;435;5
27;514;4
27;605;5
27;655;4
27;702;5
27;775;4
27;806;5
27;896;5
27;905;5
27;923;5
27;934;5
27;991;4
27;8;5
27;18;4
27;26;4
27;35;5
27;53;5
28;159;5
28;176;4
28;207;5
28;255;5
28;306;5
28;402;4
28;423;5
28;440;5
28;519;5
28;609;4
28;660;5
28;707;5
28;779;4
28;810;4
28;900;4
28;910;5
28;927;4
28;938;4
28;995;4
28;13;5
28;23;5
28;30;4
28;39;4
28;58;5
29;163;4
29;180;4
29;212;5
29;260;5
29;310;4
29;406;4
29;428;5
29;445;5
29;524;5
29;614;5
29;665;5
29;712;5
29;784;5
29;815;5
29;905;5
29;915;5
29;932;5
29;943;5
29;0;5
29;17;4
29;28;5
29;35;5
29;44;5
29;63;5
30;168;5
30;185;5
30;217;5
30;265;5
30;314;4
30;410;4
30;433;5
30;450;5
30;529;5
30;619;5
30;670;5
30;717;5
30;789;5
30;819;4
30;910;5
30;919;4
30;937;5
30;947;4
30;5;5
30;22;5
30;33;5
30;40;5
30;49;5
30;68;5
31;172;4
31;190;5
31;222;5
31;270;5
31;319;5
31;414;4
31;437;4
31;455;5
31;534;5
31;624;5
31;675;5
31;721;4
31;794;5
31;823;4
31;914;4
31;924;5
31;942;5
31;952;5
31;10;5
31;27;5
31;38;5
31;44;4
31;54;5
31;73;5
32;176;4
32;195;5
32;227;5
32;274;4
32;324;5
32;418;4
32;442;5
32;460;5
32;539;5
32;628;4
32;680;5
32;725;4
32;799;5
32;828;5
32;919;5
32;929;5
32;946;4
32;957;5
32;15;5
32;32;5
32;43;5
32;48;4
32;59;5
32;78;5
33;180;4
33;200;5
33;232;5
33;278;4
33;329;5
33;422;4
33;447;5
33;464;4
33;544;5
33;632;4
33;685;5
33;729;4
33;804;5
33;833;5
33;923;4
33;934;5
33;951;5
33;961;4
33;20;5
33;37;5
33;47;4
33;53;5
33;63;4
33;83;5
34;185;5
34;204;4
34;237;5
34;282;4
34;333;4
34;426;4
34;451;4
34;468;4
34;549;5
34;637;5
34;690;5
34;734;5
34;808;4
34;838;5
34;928;5
34;938;4
34;956;5
34;966;5
34;24;4
34;42;5
34;52;5
34;58;5
34;68;5
34;88;5
35;189;4
35;209;5
35;241;4
35;287;5
35;338;5
35;431;5
35;456;5
35;472;4
35;554;5
35;642;5
35;695;5
35;738;4
35;812;4
35;843;5
35;933;5
35;943;5
35;960;4
35;970;4
35;29;5
35;47;5
35;57;5
35;63;5
35;72;4
35;92;4
