T;P;V
0;16;0
0;25;0
0;41;0
0;74;0
0;285;0
0;387;0
0;419;0
0;478;0
0;491;0
0;536;0
0;725;0
0;939;0
1;17;1
1;26;1
1;41;0
1;75;1
1;285;0
1;388;1
1;419;0
1;478;0
1;492;1
1;536;0
1;725;0
1;940;1
2;18;1
2;28;2
2;42;1
2;76;1
2;285;0
2;390;2
2;420;1
2;479;1
2;494;2
2;537;1
2;726;1
2;941;1
3;20;2
3;30;2
3;44;2
3;78;2
3;286;1
3;393;3
3;422;2
3;481;2
3;497;3
3;538;1
3;727;1
3;942;1
4;23;3
4;33;3
4;47;3
4;81;3
4;288;2
4;397;4
4;425;3
4;484;3
4;501;4
4;540;2
4;728;1
4;943;1
5;27;4
5;37;4
5;51;4
5;85;4
5;290;2
5;402;5
5;429;4
5;488;4
5;506;5
5;543;3
5;729;1
5;944;1
6;32;5
6;42;5
6;55;4
6;90;5
6;293;3
6;406;4
6;434;5
6;493;5
6;511;5
6;546;3
6;731;2
6;945;1
7;37;5
7;46;4
7;59;4
7;95;5
7;296;3
7;411;5
7;439;5
7;498;5
7;516;5
7;549;3
7;734;3
7;947;2
8;42;5
8;50;4
8;64;5
8;100;5
8;300;4
8;416;5
8;443;4
8;503;5
8;520;4
8;553;4
8;738;4
8;950;3
9;46;4
9;55;5
9;68;4
9;104;4
9;304;4
9;421;5
9;448;5
9;508;5
9;525;5
9;557;4
9;742;4
9;954;4
10;50;4
10;60;5
10;73;5
10;108;4
10;309;5
10;426;5
10;453;5
10;513;5
10;530;5
10;561;4
10;746;4
10;959;5
11;54;4
11;64;4
11;78;5
11;112;4
11;314;5
11;430;4
11;458;5
11;518;5
11;534;4
11;566;5
11;751;5
11;964;5
12;58;4
12;68;4
12;83;5
12;116;4
12;319;5
12;435;5
12;463;5
12;523;5
12;538;4
12;571;5
12;756;5
12;969;5
13;63;5
13;73;5
13;87;4
13;121;5
13;324;5
13;439;4
13;468;5
13;527;4
13;543;5
13;576;5
13;760;4
13;974;5
14;68;5
14;78;5
14;92;5
14;125;4
14;329;5
14;443;4
14;473;5
14;532;5
14;548;5
14;581;5
14;765;5
14;979;5
15;73;5
15;83;5
15;96;4
15;129;4
15;333;4
15;448;5
15;478;5
15;537;5
15;553;5
15;586;5
15;770;5
15;984;5
16;78;5
16;87;4
16;101;5
16;134;5
16;338;5
16;453;5
16;483;5
16;541;4
16;558;5
16;590;4
16;774;4
16;989;5
17;82;4
17;92;5
17;106;5
17;138;4
17;343;5
17;458;5
17;488;5
17;545;4
17;563;5
17;595;5
17;779;5
17;994;5
18;87;5
18;96;4
18;110;4
18;142;4
18;348;5
18;462;4
18;493;5
18;550;5
18;567;4
18;600;5
18;784;5
18;999;5
19;92;5
19;101;5
19;115;5
19;146;4
19;353;5
19;467;5
19;498;5
19;554;4
19;572;5
19;605;5
19;789;5
19;3;4
20;97;5
20;105;4
20;119;4
20;151;5
20;357;4
20;472;5
20;503;5
20;559;5
20;576;4
20;610;5
20;794;5
20;8;5
21;102;5
21;110;5
21;124;5
21;156;5
21;362;5
21;476;4
21;507;4
21;564;5
21;581;5
21;614;4
21;799;5
21;13;5
22;107;5
22;115;5
22;129;5
22;161;5
22;366;4
22;481;5
22;512;5
22;568;4
22;585;4
22;619;5
22;804;5
22;17;4
23;112;5
23;120;5
23;133;4
23;165;4
23;370;4
23;486;5
23;517;5
23;572;4
23;589;4
23;624;5
23;809;5
23;22;5
24;117;5
24;125;5
24;138;5
24;169;4
24;375;5
24;490;4
24;521;4
24;577;5
24;594;5
24;629;5
24;814;5
24;26;4
25;122;5
25;130;5
25;143;5
25;173;4
25;379;4
25;495;5
25;526;5
25;581;4
25;599;5
25;633;4
25;819;5
25;30;4
26;127;5
26;135;5
26;148;5
26;178;5
26;383;4
26;499;4
26;531;5
26;585;4
26;603;4
26;638;5
26;823;4
26;35;5
27;131;4
27;139;4
27;153;5
27;183;5
27;388;5
27;503;4
27;536;5
27;589;4
27;607;4
27;643;5
27;828;5
27;40;5
28;136;5
28;143;4
28;158;5
28;188;5
28;393;5
28;507;4
28;540;4
28;594;5
28;612;5
28;648;5
28;833;5
28;45;5
29;141;5
29;147;4
29;163;5
29;192;4
29;398;5
29;512;5
29;544;4
29;599;5
29;617;5
29;653;5
29;838;5
29;50;5
30;145;4
30;151;4
30;168;5
30;196;4
30;403;5
30;517;5
30;549;5
30;604;5
30;621;4
30;657;4
30;843;5
30;54;4
31;150;5
31;156;5
31;173;5
31;201;5
31;408;5
31;522;5
31;553;4
31;608;4
31;626;5
31;662;5
31;848;5
31;59;5
32;154;4
32;161;5
32;178;5
32;206;5
32;412;4
32;526;4
32;558;5
32;613;5
32;630;4
32;667;5
32;853;5
32;64;5
33;159;5
33;166;5
33;183;5
33;211;5
33;417;5
33;530;4
33;562;4
33;618;5
33;635;5
33;672;5
33;858;5
33;69;5
34;164;5
34;170;4
34;187;4
34;215;4
34;421;4
34;534;4
34;567;5
34;622;4
34;639;4
34;677;5
34;862;4
34;73;4
35;169;5
35;175;5
35;192;5
35;220;5
35;425;4
35;539;5
35;572;5
35;626;4
35;644;5
35;681;4
35;866;4
35;77;4
36;174;5
36;179;4
36;197;5
36;225;5
36;430;5
36;544;5
36;577;5
36;631;5
36;649;5
36;686;5
36;871;5
36;81;4
37;178;4
37;183;4
37;202;5
37;229;4
37;434;4
37;548;4
37;581;4
37;636;5
37;653;4
37;690;4
37;876;5
37;86;5
38;182;4
38;188;5
38;207;5
38;233;4
38;439;5
38;552;4
38;585;4
38;641;5
38;657;4
38;694;4
38;881;5
38;90;4
39;186;4
39;193;5
39;212;5
39;238;5
39;443;4
39;556;4
39;589;4
39;645;4
39;662;5
39;698;4
39;885;4
39;95;5
40;190;4
40;198;5
40;216;4
40;242;4
40;448;5
40;560;4
40;593;4
40;650;5
40;666;4
40;703;5
40;889;4
40;99;4
41;195;5
41;203;5
41;221;5
41;247;5
41;452;4
41;565;5
41;598;5
41;654;4
41;671;5
41;708;5
41;893;4
41;104;5
42;200;5
42;207;4
42;226;5
42;252;5
42;457;5
42;570;5
42;603;5
42;659;5
42;676;5
42;713;5
42;898;5
42;109;5
43;205;5
43;212;5
43;230;4
43;257;5
43;462;5
43;574;4
43;608;5
43;664;5
43;681;5
43;718;5
43;903;5
43;113;4
44;210;5
44;217;5
44;235;5
44;261;4
44;466;4
44;578;4
44;612;4
44;668;4
44;686;5
44;723;5
44;908;5
44;118;5
45;214;4
45;222;5
45;239;4
45;266;5
45;471;5
45;583;5
45;617;5
45;673;5
45;690;4
45;728;5
45;913;5
45;123;5
46;219;5
46;227;5
46;244;5
46;271;5
46;476;5
46;588;5
46;621;4
46;677;4
46;695;5
46;732;4
46;918;5
46;127;4
47;224;5
47;232;5
47;248;4
47;275;4
47;480;4
47;593;5
47;625;4
47;682;5
47;699;4
47;737;5
47;923;5
47;132;5
48;229;5
48;237;5
48;253;5
48;280;5
48;485;5
48;598;5
48;630;5
48;687;5
48;704;5
48;741;4
48;928;5
48;137;5
49;234;5
49;241;4
49;257;4
49;285;5
49;490;5
49;603;5
49;634;4
49;692;5
49;709;5
49;746;5
49;932;4
49;141;4
50;238;4
50;246;5
50;261;4
50;290;5
50;495;5
50;607;4
50;638;4
50;697;5
50;714;5
50;751;5
50;937;5
50;146;5
51;242;4
51;250;4
51;266;5
51;294;4
51;500;5
51;611;4
51;642;4
51;702;5
51;718;4
51;755;4
51;942;5
51;151;5
52;247;5
52;255;5
52;271;5
52;298;4
52;504;4
52;616;5
52;646;4
52;707;5
52;723;5
52;759;4
52;947;5
52;155;4
53;252;5
53;260;5
53;275;4
53;303;5
53;509;5
53;620;4
53;651;5
53;711;4
53;727;4
53;764;5
53;952;5
53;160;5
54;257;5
54;264;4
54;279;4
54;308;5
54;513;4
54;625;5
54;655;4
54;715;4
54;732;5
54;768;4
54;957;5
54;164;4
55;261;4
55;269;5
55;283;4
55;312;4
55;518;5
55;630;5
55;660;5
55;720;5
55;737;5
55;773;5
55;962;5
55;169;5
56;266;5
56;274;5
56;287;4
56;317;5
56;522;4
56;634;4
56;665;5
56;724;4
56;742;5
56;778;5
56;967;5
56;174;5
57;271;5
57;278;4
57;292;5
57;322;5
57;526;4
57;638;4
57;670;5
57;729;5
57;747;5
57;783;5
57;971;4
57;179;5
58;275;4
58;282;4
58;296;4
58;326;4
58;531;5
58;642;4
58;675;5
58;733;4
58;752;5
58;788;5
58;975;4
58;183;4
59;280;5
59;287;5
59;301;5
59;331;5
59;536;5
59;647;5
59;679;4
59;737;4
59;757;5
59;793;5
59;979;4
59;188;5
60;285;5
60;291;4
60;306;5
60;336;5
60;541;5
60;651;4
60;684;5
60;741;4
60;762;5
60;798;5
60;984;5
60;193;5
61;290;5
61;296;5
61;311;5
61;341;5
61;545;4
61;656;5
61;689;5
61;746;5
61;767;5
61;803;5
61;988;4
61;198;5
62;294;4
62;301;5
62;315;4
62;346;5
62;550;5
62;660;4
62;694;5
62;750;4
62;772;5
62;808;5
62;993;5
62;202;4
63;299;5
63;305;4
63;320;5
63;351;5
63;554;4
63;665;5
63;699;5
63;755;5
63;777;5
63;813;5
63;998;5
63;206;4
64;303;4
64;310;5
64;325;5
64;356;5
64;559;5
64;670;5
64;703;4
64;759;4
64;782;5
64;817;4
64;2;4
64;210;4
65;307;4
65;314;4
65;330;5
65;361;5
65;563;4
65;675;5
65;708;5
65;764;5
65;786;4
65;822;5
65;7;5
65;214;4
66;312;5
66;319;5
66;335;5
66;365;4
66;568;5
66;680;5
66;713;5
66;768;4
66;791;5
66;826;4
66;12;5
66;219;5
67;316;4
67;323;4
67;339;4
67;370;5
67;572;4
