RHO;Q
0;0
0.006;0.029637
0.012;0.059217
0.018;0.088679
0.024;0.118472
0.03;0.147839
0.036;0.177531
0.042;0.206956
0.048;0.236495
0.054;0.266197
0.06;0.295703
0.066;0.325108
0.072;0.354425
0.078;0.383622
0.084;0.413214
0.09;0.442958
0.096;0.471858
0.103;0.505932
0.109;0.534873
0.115;0.564383
0.121;0.59315
0.127;0.619447
0.133;0.648642
0.139;0.67137
0.145;0.703444
0.151;0.721852
0.157;0.735887
0.163;0.737405
0.169;0.72747
0.175;0.725955
0.181;0.727853
0.187;0.720836
0.193;0.719128
0.2;0.712455
0.206;0.705479
0.212;0.699622
0.218;0.696529
0.224;0.692034
0.23;0.689846
0.236;0.67858
0.242;0.674901
0.248;0.674729
0.254;0.668283
0.26;0.662825
0.266;0.657623
0.272;0.653292
0.278;0.647898
0.284;0.643011
0.29;0.640745
0.296;0.631801
0.303;0.627947
0.309;0.623847
0.315;0.618063
0.321;0.613117
0.327;0.607883
0.333;0.603082
0.339;0.599441
0.345;0.594361
0.351;0.588047
0.357;0.580852
0.363;0.576778
0.369;0.570447
0.375;0.567444
0.381;0.560856
0.387;0.557474
0.393;0.551061
0.4;0.544648
0.406;0.541121
0.412;0.534463
0.418;0.528433
0.424;0.524096
0.43;0.51846
0.436;0.51329
0.442;0.508008
0.448;0.503422
0.454;0.497828
0.46;0.493095
0.466;0.488627
0.472;0.48234
0.478;0.47658
0.484;0.471558
0.49;0.466776
0.496;0.461212
0.503;0.455027
0.509;0.449982
0.515;0.443917
0.521;0.43946
0.527;0.432574
0.533;0.428531
0.539;0.422902
0.545;0.417909
0.551;0.412409
0.557;0.406273
0.563;0.401838
0.569;0.395981
0.575;0.390777
0.581;0.38531
0.587;0.380772
0.593;0.374402
0.6;0.369606
