Hürth;60189;50,8775;6,8761
Offenburg;59646;48,4708;7,9408
Stralsund;59421;54,3092;13,0819
Greifswald;59382;54,0833;13,3833
Langenfeld;58927;51,1167;6,95
Neu-Ulm;58707;48,3833;10
Unna;58633;51,5347;7,6889
Euskirchen;57975;50,6613;6,7873
Frankfurt (Oder);57873;52,35;14,55
Göppingen;57558;48,7025;9,6528
Hameln;57510;52,1031;9,36
Stolberg;56792;50,7667;6,2333
Eschweiler;56385;50,8167;6,2833
Görlitz;56324;51,1528;14,9872
Langenhagen;56288;52,4394;9,74
Meerbusch;56189;51,2667;6,6667
Sankt Augustin;55767;50,77;7,1867
Hilden;55764;51,1714;6,9394
Waiblingen;55449;48,8303;9,3169
Baden-Baden;55123;48,7619;8,2408
Hattingen;54562;51,3992;7,1858
Lingen;54422;52,5233;7,3172
Bad Homburg;54248;50,2292;8,6105
Bad Salzuflen;54127;52,0875;8,7506
Pulheim;54071;51;6,8
Schweinfurt;54032;50,05;10,2333
Nordhorn;53403;52,4333;7,0667
Neustadt;53148;49,3443;8,1952
Wetzlar;52954;50,5667;8,5
Ahlen;52582;51,7633;7,8911
Frechen;52473;50,9167;6,8167
Passau;52469;48,5667;13,4667
Wolfenbüttel;52174;52,1622;10,5369
Ibbenbüren;51904;52,2778;7,7167
Kleve;51845;51,79;6,14
Bad Kreuznach;50948;49,8469;7,8669
Goslar;50753;51,906;10,4292
Gummersbach;50688;51,0333;7,5667
Ravensburg;50623;47,7831;9,6114
Willich;50592;51,2631;6,5492
Speyer;50378;49,3194;8,4311
Böblingen;50155;48,6833;9
Peine;49952;52,3203;10,2336
Emden;49913;53,3669;7,2061
Elmshorn;49883;53,7547;9,6536
Erftstadt;49801;50,8167;6,7667
Rastatt;49783;48,8572;8,2031
Heidenheim;49526;48,6761;10,1544
Lörrach;49347;47,6156;7,6614
Leonberg;48733;48,8014;9,0131
Bergkamen;48725;51,6167;7,6333
Bad Oeynhausen;48702;52,2;8,8
Freising;48634;48,4028;11,7489
Rheda-Wiedenbrück;48505;51,8417;8,3
Cuxhaven;48356;53,8667;8,7
Bornheim;48326;50,7592;7,005
Gronau;48072;52,2125;7,0417
Straubing;47794;48,8772;12,5758
Stade;47533;53,6008;9,4764
Soest;47460;51,5711;8,1092
Dachau;47400;48,2603;11,4342
Alsdorf;47018;50,8744;6,1615
Landau;46677;49,1994;8,1231
Dülmen;46590;51,8308;7,2783
Melle;46493;52,2031;8,3361
Neunkirchen;46469;49,3448;7,1799
Herzogenrath;46402;50,8667;6,1
Schwerte;46340;51,4458;7,5653
Oberursel;46248;50,2028;8,5769
Wittenberg;46008;51,8671;12,6484
Hof;45930;50,3167;11,9167
Filderstadt;45813;48,6667;9,2167
Gotha;45733;50,9489;10,7183
Fellbach;45671;48,8086;9,2758
Bünde;45521;52,2;8,6
Albstadt;45327;48,2119;9,0239
Weinheim;45284;49,5561;8,6697
Rodgau;45202;50,0256;8,8841
Bruchsal;44644;49,1333;8,6
Oranienburg;44512;52,7544;13,2369
Brühl;44397;50,8333;6,9
Erkrath;44384;51,2239;6,9147
Neustadt am Rübenberge;44282;52,5055;9,4636
Lehrte;43999;52,3725;9,9769
Kaufbeuren;43893;47,88;10,6225
Falkensee;43838;52,5583;13,0917
Memmingen;43837;47,9878;10,1811
Kaarst;43433;51,2278;6,6273
Erkelenz;43364;51,08;6,3156
Pinneberg;43280;53,6591;9,8009
Bietigheim-Bissingen;43093;48,9667;9,1333
Kamen;42971;51,5917;7,6653
Wismar;42550;53,8925;11,465
Borken;42530;51,8439;6,8583
Gifhorn;42519;52,4886;10,5464
Nettetal;42493;51,3167;6,2833
Eisenach;42370;50,9747;10,3244
Dreieich;42091;50,0189;8,6961
Aurich;41991;53,4714;7,4836
Amberg;41970;49,4444;11,8483
Heinsberg;41946;51,0631;6,0964
Ansbach;41847;49,3;10,5833
Homburg;41811;49,3167;7,3333
Nordhausen;41791;51,505;10,7911
Wunstorf;41594;52,4238;9,4359
Seevetal;41506;53,3833;10,0333
Siegburg;41463;50,8014;7,2044
Laatzen;41422;52,3077;9,8133
Germering;41387;48,1333;11,3667
Coburg;41249;50,2585;10,9579
Königswinter;41243;50,6833;7,1833
Nürtingen;41093;48,6267;9,3353
Freiberg;40885;50,9119;13,3428
Schwabach;40792;49,3292;11,0208
Lemgo;40696;52,0277;8,9043
Kirchheim unter Teck;40523;48,6483;9,4511
Bensheim;40456;49,6811;8,6228
Schwäbisch Hall;40440;49,1122;9,7375
Weißenfels;40409;51,2;11,9667
Pirmasens;40403;49,2;7,6
Eberswalde;40387;52,8331;13,8331
Halberstadt;40256;51,8958;11,0467
Buxtehude;40150;53,4769;9,7011
Leinfelden-Echterdingen;40092;48,6928;9,1428
Neumarkt;40002;49,2833;11,4667
Hückelhoven;39931;51,0608;6,2197
Hofheim;39766;50,0876;8,4447
Löhne;39697;52,2;8,7
Schorndorf;39634;48,8;9,5333
Stendal;39439;52,6;11,85
Freital;39405;51,0167;13,65
Völklingen;39374;49,25;6,8333
Ettlingen;39339;48,9333;8,4
Ostfildern;39321;48,7228;9,2631
Maintal;39298;50,15;8,8333
Buchholz in der Nordheide;39272;53,3285;9,8621
Ahaus;39223;52,0794;7,0134
Ilmenau;39017;50,6872;10,9142
Mettmann;38829;51,25;6,9667
Würselen;38712;50,8247;6,1275
Bitterfeld;38475;51,6167;12,3167
Bautzen;38329;51,1814;14,4239
Pirna;38316;50,9622;13,9403
Niederkassel;38218;50,8167;7,0333
Langen;37902;49,9893;8,6803
Greven;37692;52,0917;7,6083
Fürstenfeldbruck;37677;48,1778;11,2556
Neu Isenburg;37668;50,0558;8,6971
Papenburg;37579;53,0667;7,4
Kamp-Lintfort;37391;51,5;6,5333
Backnang;37253;48,9464;9,4306
Warendorf;37226;51,9539;7,9933
Königs Wusterhausen;37190;52,2917;13,625
Suhl;36955;50,6106;10,6931
Beckum;36646;51,7558;8,0408
Erding;36469;48,3001;11,9082
Coesfeld;36217;51,9458;7,1675
Mühlhausen;36200;51,2167;10,45
Wesseling;36146;50,8207;6,9786
Kehl;36089;48,5711;7,8089
Emsdetten;36012;52,1728;7,5344
Tuttlingen;35730;47,985;8,8233
Sankt Ingbert;35714;49,3;7,1167
Porta Westfalica;35671;52,2167;8,9333
Sinsheim;35442;49,25;8,8833
Meppen;35373;52,6906;7,291
Limburg;35243;50,3833;8,0667
Ingelheim;35146;49,9747;8,0564
Lage;35047;51,9833;8,8
Cloppenburg;34913;52,8478;8,0439
Winsen;34896;53,3667;10,2167
Mörfelden-Walldorf;34828;49,9896;8,5661
Wermelskirchen;34765;51,1392;7,2051
Datteln;34614;51,6539;7,3417
Kempen;34597;51,3658;6,4194
Saarlouis;34552;49,3167;6,75
Leer;34486;53,2308;7,4528
Seelze;34442;52,3961;9,5981
Crailsheim;34400;49,1347;10,0706
Barsinghausen;34234;52,3031;9,4606
Balingen;34217;48,2731;8,8506
Zweibrücken;34209;49,2494;7,3608
Viernheim;34175;49,538;8,5792
Steinfurt;34084;52,1504;7,3366
Merseburg;34080;51,3544;11,9928
Hemer;34080;51,3833;7,7667
Dietzenbach;34019;50,0086;8,7756
Radebeul;34008;51,1033;13,67
Bad Vilbel;33990;50,1781;8,7361
Geldern;33836;51,5197;6,3325
Goch;33825;51,6839;6,1619
Kornwestheim;33803;48,8597;9,185
Stuhr;33678;53,0167;8,75
Uelzen;33614;52,9647;10,5658
Deggendorf;33585;48,8353;12,9644
Wedel;33547;53,5833;9,7
Ahrensburg;33472;53,6747;10,2411
Rheinfelden (Baden);33074;47,5611;7,7917
Korschenbroich;33066;51,1833;6,5167
Biberach;32938;48,0981;9,7886
Wernigerode;32733;51,835;10,7853
Bernburg;32674;51,8;11,7333
Jülich;32632;50,9222;6,3583
Lampertheim;32537;49,5942;8,4671
Vechta;32433;52,7306;8,2886
Naumburg;32402;51,1521;11,8098
Forchheim;32171;49,7197;11,0581
