RHO;Q
0;0
0.006;0.0047974
0.012;0.0095902
0.018;0.0143499
0.024;0.0190915
0.03;0.0238357
0.036;0.0286036
0.042;0.0332545
0.048;0.0380146
0.054;0.042703
0.06;0.0474028
0.066;0.0519953
0.072;0.0567731
0.078;0.0612678
0.084;0.0659596
0.09;0.0703755
0.096;0.0749414
0.103;0.080392
0.109;0.0848745
0.115;0.0895544
0.121;0.0940059
0.127;0.0983844
0.133;0.102901
0.139;0.10703
0.145;0.111581
0.151;0.116038
0.157;0.120375
0.163;0.124711
0.169;0.12844
0.175;0.133586
0.181;0.13752
0.187;0.141783
0.193;0.145903
0.2;0.150649
0.206;0.154481
0.212;0.159085
0.218;0.162589
0.224;0.16703
0.23;0.170846
0.236;0.174679
0.242;0.178743
0.248;0.182474
0.254;0.186104
0.26;0.189903
0.266;0.193684
0.272;0.197155
0.278;0.201146
0.284;0.204206
0.29;0.207804
0.296;0.211368
0.303;0.215066
0.309;0.21867
0.315;0.222613
0.321;0.224581
0.327;0.227946
0.333;0.230721
0.339;0.234048
0.345;0.236196
0.351;0.239573
0.357;0.24173
0.363;0.244847
0.369;0.247912
0.375;0.249824
0.381;0.25195
0.387;0.254216
0.393;0.256526
0.4;0.259227
0.406;0.261443
0.412;0.262922
0.418;0.26475
0.424;0.26591
0.43;0.266843
0.436;0.268389
0.442;0.270404
0.448;0.271141
0.454;0.272727
0.46;0.27294
0.466;0.274478
0.472;0.275658
0.478;0.275676
0.484;0.276325
0.49;0.276796
0.496;0.276623
0.503;0.276593
0.509;0.27506
0.515;0.275572
0.521;0.274608
0.527;0.274898
0.533;0.274689
0.539;0.273402
0.545;0.272149
0.551;0.271927
0.557;0.270633
0.563;0.268833
0.569;0.267566
0.575;0.266681
0.581;0.264706
0.587;0.262847
0.593;0.261122
0.6;0.259679
